date,channel,data_source,campaign,ad_set,impressions,clicks,spend,conversions,video_views
2023-02-12,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,744012,80869,297408.24,1271,10096
2023-02-13,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,780714,90370,338142.69,1604,9620
2023-02-14,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,718523,87520,322300.86,1821,9768
2023-02-15,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,740656,89613,295203.2,1752,10802
2023-02-16,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,814153,96335,332171.66,1929,11104
2023-02-17,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,809787,84955,300500.18,1706,8128
2023-02-18,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,810512,97040,346574.89,1567,13793
2023-02-19,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,663560,72522,268293.01,1472,11856
2023-02-20,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,749660,81065,293726.14,1416,12343
2023-02-21,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,782404,94409,316716.95,1657,9733
2023-02-22,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,766473,88191,323348.32,1406,11149
2023-02-23,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,925230,111608,414212.56,2112,13864
2023-02-24,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,920888,100904,373907.32,1930,15054
2023-02-25,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,845559,101287,385191.08,1915,13954
2023-02-26,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,850233,97968,368544.26,2077,11349
2023-02-27,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,867987,93864,347072.22,1387,13179
2023-02-28,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,891042,102742,370409.49,1892,14282
2023-03-01,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,904024,109466,363482.65,1854,16521
2023-03-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,780838,96787,358345.73,1988,12950
2023-03-03,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,829112,90537,331867.27,1721,13908
2023-03-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,828736,103738,381806.67,1989,12587
2023-03-05,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,857872,103650,352666.87,1481,15590
2023-03-06,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,999947,104674,360201.43,1786,15921
2023-03-07,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,947691,95018,364190.03,1589,12379
2023-03-08,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,826933,91560,333024.33,1686,15015
2023-03-09,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,963591,103384,389968.85,1992,15966
2023-03-10,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,835185,97621,356924.61,1629,11695
2023-03-11,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,862650,109303,400027.97,2365,12009
2023-03-12,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,919008,111807,428140.38,2434,14398
2023-03-13,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,992144,128135,456997.85,2175,15916
2023-03-14,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,834320,90486,333162.16,1619,12885
2023-03-15,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1054712,118074,423041.28,2007,16559
2023-03-16,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,706744,83368,299389.79,1559,13304
2023-03-17,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,926447,109326,395481.09,2134,16130
2023-03-18,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,800256,93106,346205.78,1647,12347
2023-03-19,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,909125,90860,326438.27,1353,15562
2023-03-20,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1027938,112585,440827.26,1978,13030
2023-03-21,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,858091,87350,307695.08,1267,13639
2023-03-22,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,908876,105906,387226.67,1759,17333
2023-03-23,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,949182,109587,395927.0,2160,13772
2023-03-24,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1094271,127652,506132.53,2107,14327
2023-03-25,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,875041,96566,360878.48,1817,11841
2023-03-26,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,916727,98156,382333.4,1758,11503
2023-03-27,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,966972,104503,358653.91,1494,12797
2023-03-28,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1110527,134589,506085.9,2431,15732
2023-03-29,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1025100,112522,436495.59,2210,12134
2023-03-30,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,979152,106386,397096.84,1667,14721
2023-03-31,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1057457,113796,445947.82,1867,18008
2023-04-01,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1054982,117914,427746.98,2204,13669
2023-04-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1195091,123694,493526.41,2207,22011
2023-04-03,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1107196,122720,510437.88,2120,17880
2023-04-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1203830,131845,483361.43,2171,20848
2023-04-05,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1104279,117043,427668.09,2265,14929
2023-04-06,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1132170,148118,594296.51,3637,19159
2023-04-07,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1210516,128800,520286.63,2405,15183
2023-04-08,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1228098,123281,449872.46,1995,20881
2023-04-09,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1165047,133843,491423.65,2260,17926
2023-04-10,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1047927,116770,432149.64,1907,17023
2023-04-11,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1130405,136757,479265.28,2783,13966
2023-04-12,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1228682,137861,494597.12,2576,15955
2023-04-13,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1181173,142838,510606.37,3149,19304
2023-04-14,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1161770,128403,465125.12,2416,14947
2023-04-15,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1258423,145102,546131.1,2273,20187
2023-04-16,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1187990,144772,552713.0,3117,14165
2023-04-17,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1404851,136731,556460.28,1915,23753
2023-04-18,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1327633,143425,515117.89,2382,16232
2023-04-19,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1209944,149533,593612.39,3029,19652
2023-04-20,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1281318,160558,601507.75,3859,21023
2023-04-21,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1006754,113784,430196.17,2695,13522
2023-04-22,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1308465,150342,589565.72,2929,21340
2023-04-23,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1290767,143877,515608.42,2517,20117
2023-04-24,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1422118,175301,678903.3,3640,19607
2023-04-25,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1352334,167255,641438.5,3601,17216
2023-04-26,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1285807,142549,556009.98,2446,13609
2023-04-27,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1252385,132531,512252.38,2645,19771
2023-04-28,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1203466,126602,542049.71,2178,13814
2023-04-29,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1523324,178989,661361.9,3530,23176
2023-04-30,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1333783,150543,559806.37,2898,19216
2023-05-01,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1419518,157507,583436.04,2912,23461
2023-05-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1265779,129910,483310.24,2310,18126
2023-05-03,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1544266,175590,651066.97,2995,22019
2023-05-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1206891,138749,563479.42,2408,20090
2023-05-05,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1390483,170547,700787.45,2976,21905
2023-05-06,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1530455,164512,613678.72,2952,24045
2023-05-07,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1261297,159375,587017.17,3471,20251
2023-05-08,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1237349,134361,529001.79,2439,14285
2023-05-09,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1183507,143664,537808.69,3255,19767
2023-05-10,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1353810,167224,664726.48,3301,22172
2023-05-11,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1268936,147501,574600.25,2925,16131
2023-05-12,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1233838,134139,478505.1,2077,17829
2023-05-13,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1213755,137214,571080.75,2384,18098
2023-05-14,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1500726,171670,723341.07,3358,22056
2023-05-15,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1438661,167562,628546.15,3385,22660
2023-05-16,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1590461,187003,710223.39,3412,28979
2023-05-17,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1281711,150426,591433.13,2802,22345
2023-05-18,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1375158,145950,575700.83,2100,16567
2023-05-19,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1627836,202404,811801.13,3880,26695
2023-05-20,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1252408,134165,573805.24,2502,22530
2023-05-21,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1408665,169857,654824.94,3463,22355
2023-05-22,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1559285,184461,689422.17,3664,27216
2023-05-23,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1205038,118223,428852.43,1863,23531
2023-05-24,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1488199,175238,658367.64,3301,25750
2023-05-25,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1614847,186621,727141.24,3220,25128
2023-05-26,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1585674,179429,763760.81,3473,27513
2023-05-27,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1311486,145650,554673.63,2695,20099
2023-05-28,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1304015,148592,587909.65,2840,19630
2023-05-29,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1426221,155222,607360.71,2559,20265
2023-05-30,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1593440,168849,701106.39,2244,29506
2023-05-31,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1520190,172916,763996.81,3490,20003
2023-06-01,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1529348,171654,656026.54,2933,28213
2023-06-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1652706,168366,645373.81,2506,26649
2023-06-03,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1563791,175603,726635.68,3371,18533
2023-06-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1495366,170503,693970.68,2986,23667
2023-06-05,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1405983,154256,663761.81,2993,14446
2023-06-06,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1858358,223626,907402.17,4568,30490
2023-06-07,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1601895,169501,656815.53,3064,27219
2023-06-08,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1293212,153669,624791.16,2521,17674
2023-06-09,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1701675,189769,791643.08,3794,25998
2023-06-10,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1382484,141628,583238.69,2380,26815
2023-06-11,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1809742,205776,835357.94,3603,25086
2023-06-12,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1799219,211085,881021.56,4016,22701
2023-06-13,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1432051,165855,696195.27,2525,26254
2023-06-14,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1803034,200310,849988.2,3703,35007
2023-06-15,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1636425,194923,799423.73,3330,24559
2023-06-16,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1760447,192159,757581.91,2900,30413
2023-06-17,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1875387,214634,860295.17,3330,33791
2023-06-18,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1497778,152462,643779.22,2757,19964
2023-06-19,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1455857,160233,612543.9,2642,20248
2023-06-20,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1568822,166243,675358.22,3248,27877
2023-06-21,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1481388,157780,617510.27,2543,27837
2023-06-22,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1574892,169657,678850.77,2423,25617
2023-06-23,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1587491,178048,757505.59,2836,20669
2023-06-24,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1699617,192649,778386.06,3923,33093
2023-06-25,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1921589,218399,876830.15,3907,26528
2023-06-26,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1553449,171599,641136.76,2864,22130
2023-06-27,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1838335,204970,853051.74,3712,28991
2023-06-28,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1761878,203218,842347.05,3936,32589
2023-06-29,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2083415,223923,997227.37,4278,35254
2023-06-30,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1884253,212525,841636.43,4388,30022
2023-07-01,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1580271,185688,755655.88,3363,25351
2023-07-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1708161,188960,770754.85,2899,25789
2023-07-03,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1920407,215991,939566.17,3723,31217
2023-07-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1962300,207925,835046.45,3614,18266
2023-07-05,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2139418,249105,1020079.45,4191,30663
2023-07-06,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2246746,249135,1037597.8,3994,34921
2023-07-07,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1967057,235166,960183.69,4650,24411
2023-07-08,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1827700,201220,796469.3,3525,29004
2023-07-09,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1717310,195191,798566.69,3559,24969
2023-07-10,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1839132,188424,805114.47,2852,34851
2023-07-11,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2116445,221340,852204.18,3616,39237
2023-07-12,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1958117,221924,907409.03,3650,27319
2023-07-13,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1779745,204943,803956.79,4109,26092
2023-07-14,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2125054,211477,911793.1,3713,31522
2023-07-15,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1931163,202406,761382.17,2766,27004
2023-07-16,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1943808,256181,1014781.86,4897,30010
2023-07-17,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2141908,262985,1092783.34,4390,28474
2023-07-18,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1988845,234946,1034043.97,4149,24773
2023-07-19,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1622402,193062,786067.7,3643,26609
2023-07-20,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1998556,217338,863882.05,3231,32809
2023-07-21,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2236449,243265,1088972.6,3841,29499
2023-07-22,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2188496,227400,863772.51,3398,37236
2023-07-23,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,2083463,221702,808701.85,3850,28291
2023-07-24,Programmatic,StackAdapt,Business-focused zero tolerance architecture,Business-focused zero tol... AS-1,1759603,200006,838387.53,3660,27396
